bairro,data,casos
SANTA CRUZ,2020-05-15,1
SANTA CRUZ,2020-05-16,1
SANTA CRUZ,2020-05-17,1
SANTA CRUZ,2020-05-18,1
SANTA CRUZ,2020-05-19,1
SANTA CRUZ,2020-05-20,1
SANTA CRUZ,2020-05-21,1
SANTA CRUZ,2020-05-22,1
SANTA CRUZ,2020-05-23,1
SANTA CRUZ,2020-05-24,1
SANTA CRUZ,2020-05-25,1
SANTA CRUZ,2020-05-26,1
SANTA CRUZ,2020-05-27,1
SANTA CRUZ,2020-05-28,1
SANTA CRUZ,2020-05-29,1
SANTA CRUZ,2020-05-30,1
SANTA CRUZ,2020-05-31,1
SANTA CRUZ,2020-06-01,1
SANTA CRUZ,2020-06-02,1
SANTA CRUZ,2020-06-03,1
SANTA CRUZ,2020-06-04,1
SANTA CRUZ,2020-06-05,1
SANTA CRUZ,2020-06-06,1
SANTA CRUZ,2020-06-07,1
SANTA CRUZ,2020-06-08,1
SANTA CRUZ,2020-06-09,1
SANTA CRUZ,2020-06-10,1
SANTA CRUZ,2020-06-11,1
SANTA CRUZ,2020-06-12,1
SANTA CRUZ,2020-06-13,1
SANTA CRUZ,2020-06-14,1
SANTA CRUZ,2020-06-15,1
SANTA CRUZ,2020-06-16,1
SANTA CRUZ,2020-06-17,1
SANTA CRUZ,2020-06-18,1
SANTA CRUZ,2020-06-19,1
SANTA CRUZ,2020-06-20,1
SANTA CRUZ,2020-06-21,1
SANTA CRUZ,2020-06-22,1
SANTA CRUZ,2020-06-23,1
SANTA CRUZ,2020-06-24,1
SANTA CRUZ,2020-06-25,1
SANTA CRUZ,2020-06-26,1
SANTA CRUZ,2020-06-27,1
SANTA CRUZ,2020-06-28,1
SANTA CRUZ,2020-06-29,1
SANTA CRUZ,2020-06-30,1
SANTA CRUZ,2020-07-01,1
SANTA CRUZ,2020-07-02,1
SANTA CRUZ,2020-07-03,1
SANTA CRUZ,2020-07-04,1
SANTA CRUZ,2020-07-05,1
SANTA CRUZ,2020-07-06,1
SANTA CRUZ,2020-07-07,1
SANTA CRUZ,2020-07-08,1
SANTA CRUZ,2020-07-09,1
SANTA CRUZ,2020-07-10,1
SANTA CRUZ,2020-07-11,1
SANTA CRUZ,2020-07-12,1
SANTA CRUZ,2020-07-13,1
SANTA CRUZ,2020-07-14,1
SANTA CRUZ,2020-07-15,1
SANTA CRUZ,2020-07-16,1
SANTA CRUZ,2020-07-17,1
SANTA CRUZ,2020-07-18,1
SANTA CRUZ,2020-07-19,1
SANTA CRUZ,2020-07-20,1
SANTA CRUZ,2020-07-21,1
SANTA CRUZ,2020-07-22,1
SANTA CRUZ,2020-07-23,1
SANTA CRUZ,2020-07-24,1
SANTA CRUZ,2020-07-25,1
SANTA CRUZ,2020-07-26,1
SANTA CRUZ,2020-07-27,1
SANTA CRUZ,2020-07-28,1
SANTA CRUZ,2020-07-29,1
SANTA CRUZ,2020-07-30,1
SANTA CRUZ,2020-07-31,1
SANTA CRUZ,2020-08-01,1
SANTA CRUZ,2020-08-02,1
SANTA CRUZ,2020-08-03,1
SANTA CRUZ,2020-08-04,1
SANTA CRUZ,2020-08-05,1
SANTA CRUZ,2020-08-06,1
SANTA CRUZ,2020-08-07,1
SANTA CRUZ,2020-08-08,1
SANTA CRUZ,2020-08-09,1
SANTA CRUZ,2020-08-10,1
SANTA CRUZ,2020-08-11,1
SANTA CRUZ,2020-08-12,1
SANTA CRUZ,2020-08-13,1
SANTA CRUZ,2020-08-14,1
